DocID,Title,Description
ADM 2336,Organizational Behaviour (3 units),"
Concepts and approaches for diagnosing and predicting events in organizations. Work motivation, job satisfaction and performance, group dynamics, leadership, decision-making, power, conflict and culture.
Course Component: Lecture"
ADM 2337,Human Resource Management (3 units),"
Policies and practices relating to job analysis, human resource planning, staffing, performance appraisal, training and development, wage and salary administration, and collective bargaining.
Course Component: Lecture"
ADM 2341,Managerial Accounting (3 units),"
This course introduces students to the role of management accounting, as distinct from financial accounting, in the decision-making process. Major topics include: the determination of the costs of products and services, cost behaviour, relevant costs, standard costs, budgeting, responsibility accounting and cost allocation. All topics are approached in a management context in order to give the student an appreciation of the value of the various techniques available for the analysis and solution of problems faced by managers.
Course Component: Discussion Group, Lecture"
ADM 2342,Intermediate Accounting I (3 units),"
This course extends, at a more advanced level, the material covered in ADM 1340. Concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the assets of an organization. In conjunction with ADM 3340, it enhances the student's understanding of accounting practices and financial reporting.
Course Component: Discussion Group, Lecture"
ADM 2350,Financial Management (3 units),"
Financial environment and markets, concepts of valuation, risk and return, cost of capital, capital budgeting under certainty, long-term financing, working capital management, and short-term financing.
Course Component: Discussion Group, Lecture"
ADM 2352,Finance Theory (3 units),"
Key theoretical paradigms of modern finance. Arbitrage, expected utility, risk aversion, trade-offs between risk and return, behavioural and the concepts of prospect theory, framing, mental accounting, agency relationships, and information asymmetry.
Course Component: Discussion Group, Lecture"
ADM 2372,Management Information Systems (3 units),"
Introduction to management information systems, their underlying infrastructure and technology, and their impacts on organizations and individuals. Applications of information systems at the operational and decision making levels. Electronic business. Ethical and legal issues. Security and quality issues. Advanced topics including knowledge management and business intelligence.
Course Component: Lecture"
ADM 2381,Business Communication Skills (3 units),"
Develop effective written and oral business communication skills.  Emphasis will be on quality in business written communications; strategies for planning and implementing effective communication to different audiences, including oral communication and presentations in front of an audience.
Course Component: Discussion Group, Lecture"
ADM 2901,Stage coop / Co-op Work Term (3 crédits / 3 units),"
Stage coop / Co-op Work Term
Volet / Course Component: Stage / Work Term"
ADM 3301,Operations Management (3 units),"
Nature and context of Operations Management for the manufacturing and service sectors.  Operations strategy and competitiveness.  Introduction to supply chain management: supply chain strategy and design, just-in-time systems.  Planning, managing and controlling operations: forecasting, aggregate planning, inventory control, Material Requirements Planning and introduction to Enterprise Requirement Planning.  Introduction to quality management and control.
Course Component: Discussion Group, Lecture"
ADM 3302,Supply Chain Management (3 units),"
Study of supply chain management and of its impact on the competitive success and profitability of modern organizations. The integration of information and materials flows across multiple organizations. The roles of business logistics functions, including forecasting and planning, procurement, purchasing, inventory management, warehousing and materials handling, transportation management, and after sales service and customer relationships in the integrated supply chain. Issues of global logistics and reverse logistics.
Course Component: Lecture"
ADM 3305,Business Simulation Analytics (3 units),"
Advanced prescriptive analytics introducing simulation modeling of complex problems that include both deterministic and probabilistic elements. Students will get hands-on experience with simulation and decision modeling and formulation, software and results interpretation skills.
Course Component: Lecture"
ADM 3308,Business Data Mining (3 units),"
Introduction to the data mining process, data mining tasks including classification, clustering and association rules, as well as data mining modeling techniques such as decision trees, neural networks, and regression analysis. Introduction to the management of Big Data and Big Data Analytics. Examples in various managerial applications including Customer Relationship Management, marketing, sales, credit scoring, churn, and survival analysis.
Course Component: Lecture"
ADM 3313,New Venture Creation (3 units),"
Ideation, business modeling and validation; the business planning process, including: market evaluation and the marketing plan, physical, human resources and organizational planning, and the financial plan. Student projects in moving an actual business concept through the process from idea to plan, including: crafting a business idea; building a business model; implementing a validation plan; and, writing a business plan.
Course Component: Lecture"
ADM 3316,Competitive Intelligence (3 units),"
Main elements of competitive intelligence and understanding of fundamental issues.  Concepts of competitive intelligence, market insight, foresight, peripheral vision and analytics will be used to better understand and use relevant commercial information.
Course Component: Lecture"
ADM 3317,"The Global Context of Business: Merchants, Traders, Capitalists and Profit Seekers (3 units)","
Examines and evaluates the practices of merchants, traders, entrepreneurs, financiers, marketers and profit seekers of the 15th to the 19th centuries who contributed to the development of global business and trade. Emphasizes the dynamic intertwining of markets and their social, technological, political, economic and cultural context via the analysis and discussion of case studies, readings and other sources.
Course Component: Lecture"
ADM 3318,International Business (3 units),"
Study of the changing international business environment, from a competitive and economic perspective. With a regional and a global approach, trade patterns, the role of international institutions (IMF, WTO, CNUCED, etc.) and trading blocks (EU, NAFTA, APEC, etc.) are analyzed. Questions related to ethics, environmental issues and corporate responsibility are also considered.
Course Component: Lecture"
ADM 3319,Cross-Cultural Management (3 units),"
Diagnostic of intercultural situations in international contexts. Theoretical aspects of various disciplines linked to comparative management.  Concepts of culture, values, behaviour, intercultural communication and their relation to the dynamics of management, organizational structure, human resources, technology transfer, ethics in an intercultural context.  The intercultural team and synergy. Profile of the interculturally effective person.  The feminine entrepreneurship in international management. Monograph on the socio-political situation and the business culture of various countries.  Enterprise and Canadian diversity, Charter of Human Rights and Freedoms, legislation and policies on multiculturalism. Acculturation.
Course Component: Lecture"
ADM 3321,Consumer Behaviour (3 units),"
Synthesis of the behavioural analysis of the consumer (psychology, sociology, social psychology). Recent applications of behavioural theory will be investigated in light of the consumer's behaviour, individually and as mediated by group processes. Behavioural impact of the corporate and marketing strategies on the consumer.
Course Component: Lecture"
ADM 3322,Services Marketing (3 units),"
Concepts and decisions involved with marketing of services.  It concerns specific service industries (i.e. tourism, financial) and firms that primarily sell goods that include services (i.e. computers). Special attention is given to service quality in the profit and non-profit context.
Course Component: Lecture"
ADM 3323,Market Research (3 units),"
Review of exploratory, descriptive, and causal research methods such as interviews and focus groups, surveys, and experiments. Topics include: sample selection, the gathering, analysis and interpretation of market-related data, study of multivariate data analysis techniques, investigation of relevant applied market research topics.
Course Component: Lecture"
ADM 3326,Advertising and Sales Promotion Management (3 units),"
Theory and practice of advertising and sales promotion in the context of the integrated marketing communications field. Focus on the strategy and tactics of creative and media decisions in advertising.
Course Component: Lecture"
ADM 3333,Staffing Organizations (3 units),"
In-depth study of external and internal staffing policies and practices in organizations. HR Forecasting, recruitment, selection, human rights and employment equity issues in staffing, identification and validation of selection criteria and techniques, career and succession planning, destaffing, and the relationship between the staffing process and other organizational processes.
Course Component: Lecture"
ADM 3334,Industrial Relations (3 units),"
Theories of industrial relations, structure and functions of labour organizations, union-management relations, employer-employee relations, legislation and policies regulating industrial relations, negotiation and administration of collective agreements and bargaining outcomes.
Course Component: Lecture"
ADM 3337,Compensation Administration (3 units),"
Economic and non-economic rewards, compensation, performance and satisfaction, job analysis, evaluation and internal comparisons, pay surveys and external comparisons, pay structure, merit pay, incentive pay and benefits, impact of pay equity legislation and collective bargaining on compensation.
Course Component: Lecture"
ADM 3340,Intermediate Accounting II (3 units),"
Continuation of ADM 2342. In this course, concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the liabilities and equity of an organization.
Course Component: Discussion Group, Lecture"
ADM 3345,Taxation I (3 units),"
Provides a general knowledge of the Canadian Federal Income Tax system as it relates to individual taxpayers. The course includes the tax provisions for calculating all sources of taxpayer income to arrive at taxable income and the calculation of income taxes payable by an individual taxpayer.
Course Component: Lecture"
ADM 3346,Cost Accounting (3 units),"
An in-depth study of the principal concepts and techniques of cost analysis and cost management within the organization. The major part of the course concentrates on a mastery of the different cost accumulation systems, such as job order and process costing and cost analysis such as variance analysis. Special attention is given to the implications and integration of the different methods, techniques and studies related to the formal accounting system in the firm.
Course Component: Discussion Group, Lecture"
ADM 3349,Auditing Theory (3 units),"
Definition of auditing. Concepts of management assertions, audit objectives, evidence, materiality and risk, internal control, audit planning, and reporting as applied to financial statements. Professional ethics, legal liability, and the responsibilities of auditors to society are also addressed.
Course Component: Lecture"
ADM 3350,Corporate Finance (3 units),"
Credit management, capital budgeting under risk, capital structure, dividend policy, mergers and acquisitions, leasing, introduction to derivates, introduction to corporate risk management.
Course Component: Discussion Group, Lecture"
ADM 3351,Fixed Income Investments (3 units),"
Markets for debt instruments, term structure of interest rates, bond valuation, duration analysis, bond portfolio management and immunization, fixed income derivatives.
Course Component: Lecture"
ADM 3352,Portfolio Management (3 units),"
Modern portfolio theory, the capital asset pricing model, the arbitrage pricing theory, portfolio selection, efficient markets, active portfolio management and performance measurement.
Course Component: Lecture"
ADM 3357,Applied Investment Fund Management Module I (3 units),"
Students will oversee a portfolio of Canadian equity securities, with investments made via funds donated to the program. Emphasis is on applied equity valuation and portfolio management. Comprising a two-academic year program, students must complete Module I (3 credits) in Fall of the two year program, attend financial presentations, trip to Toronto, portfolio team meetings and portfolio management activities on an ongoing basis throughout the remainder of the academic year, and end with completion of Module II (3 credits) in Winter of the second year of the program.
Course Component: Lecture"
ADM 3358,Multinational Business Finance (3 units),"
The international financial environment, foreign exchange markets and derivatives, managing transaction and economic exposures, foreign investment and financing decisions, and managing mutinational operations.
Course Component: Lecture"
ADM 3360,Business Law (3 units),"
A foundation course in law that aims to introduce the student to the fundamental concepts of the common law. It comprises a study of the Canadian legal system, principles of statutory interpretation, the role of precedent in judicial decisions, the basic elements of contract law, negligence and product liability, and certain important concepts in property law such as land tenure, mortgages, landlords and tenant and personal property.
Course Component: Lecture"
ADM 3363,Healthcare Informatics for Managers (3 units),"
Assess healthcare analytics from a data perspective, specifically how patient data is acquired, turned into information and translated into knowledge; how healthcare information systems are designed and evaluated; how different systems such as clinical, electronic health records and public health systems function and are integrated; how the benefits and barriers of e-health systems including security, privacy, ethical and legal issues are assessed.
Course Component: Lecture"
ADM 3378,Emerging Topics in Management Information Systems (3 units),"
Emerging topics in the Management of Information Systems including green IT; cloud computing; social media in general and social networks in particular; mobile technologies; sustainability; IT security; auditing and ethics; feasibility assessments. Topics may vary with each offering of the course based on emerging trends in IT and its management.
Course Component: Lecture"
ADM 3379,"Systems Analysis, Development, and Performance (3 units)","
Systemic methodology for analyzing business problems or opportunities and the role of technologies in addressing business needs; articulating business requirements for technology solutions; high-level logical system characteristics including business process requirements and data design; formal methodologies for converting business requirements into solution characteristics and technical specifications; business process (re-)design and change management; systems acquisition alternatives and feasibility based on cost/benefit, ethical, cultural and legal considerations.
Course Component: Lecture"
ADM 3396,Seminar in Administration (3 units),"
The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.
Course Component: Seminar"
ADM 3901,Stage coop / Co-op Work Term (3 crédits / 3 units),"
Stage coop / Co-op Work Term
Volet / Course Component: Stage / Work Term"
ADM 3902,Stage coop / Co-op Work Term (3 crédits / 3 units),"
Stage coop / Co-op Work Term
Volet / Course Component: Stage / Work Term"
ADM 3993,Préparation à la compétition d'affaires / Preparation to Business Cases (3 crédits / 3 units),"
Préparation aux compétitions de cas; application des concepts, stratégies et approches pour les analyses de cas; et  préparer et présenter des cas. / Preparation for case competitions; application of all the concepts, strategies, and approaches for case analysis. Case preparation and presentation.
Volet / Course Component: Cours magistral / Lecture"
ADM 3994,Préparation et participation à la compétition de cas d'affaires I / Preparation and Participation to Business Cases I (3 crédits / 3 units),"
Préparation et participation à une compétition de cas par l'analyse d'une sélection de cas d'affaires. Formation dans des sujets qui sont spécifiques à la compétition. L'admission est limitée et la sélection est faite par un comité et/ou par le professeur qui entraînera l'équipe de cas. / Preparation and participation for a case competition. Analysis of a variety of business cases. Training in topics that are specific to the case competition. Admission is restricted and selection is made by a committee and/or the professor who will coach the case team.
Volet / Course Component: Théorie et laboratoire / Theory and Laboratory"
ADM 3998,Recherche appliquée en gestion / Applied Research in Management (3 crédits / 3 units),"
Exposition au processus de recherche à travers une variété de projets et activités, tels que la recherche documentaire, la préparation de matériels d'étude, la collecte de données, ainsi que la gestion et l'analyse de données. Examen des effets de la recherche en gestion sur les pratiques de gestion, et vice-versa. / Exposure to the research process through a variety of projects and activities, including tasks such as literature searches, preparation of study materials, data collection, as well as data management and analysis.  Explore the impact of research in management on managerial practice, and vice-versa.
Volet / Course Component: Recherche / Research"
ADM 4103,Project Management (3 units),"
An overview of project management including; projects selection, project scope definition, stakeholders analysis, the logical framework method, the project charter, project design and feasibility studies project planning and monitoring, risk management, and lessons learned with special emphasis on Information Technology projects. ADM courses at the 4000 level are reserved for: 1) B.Com. students who have completed at least 33 units from ADM core courses, including ADM 2381/2781; 2) Students completing a minor in Business Administration or a minor in Management Information Systems; 3) Students in the certificate programs of the Telfer School when these courses are part of certificate requirements.
Course Component: Lecture"
ADM 4307,Business Forecasting Analytics (3 units),"
Advanced predictive analytics methods for business and management; time series analysis, econometric modeling, growth models, substitution and diffusion models, opinion polling, technology forecasting; selection of appropriate prediction techniques, collection and use of data, critical evaluation of results. Overview of advanced quantitative and qualitative techniques and of their context of utilization via presentations, projects and in-class discussions.
Course Component: Lecture"
ADM 4311,Strategic Management (3 units),"
This course integrates knowledge attained from prior courses combined with the latest strategy frameworks and analytical concepts. Students must examine and resolve the complex decisions top managers face in today's globally competitive world. Pedagogically, the course utilizes the case study method, which encourages student centered learning, real business analysis, and group participation. As an introductory course in strategy, the emphasis is placed on the fundamental tools of strategic formulation, competitive and market analysis, developing resource and organizational capabilities, shaping strategic fit, and leading organizational integration, with the aim of improving a firm's long-term performance.
Course Component: Lecture"
ADM 4312,Management in the New Economy (3 units),"
Brief overview of the traditional model for strategy making; new business models and their strategy implications in the new economy, i.e. an economy based on information technology and on companies focused on leveraging the Internet. Modern strategy themes include emergent strategy, system thinking, business webs and disruptive technologies. Practical learning experience as students explore the value propositions of thirty new economy companies.
Course Component: Lecture"
ADM 4315,Strategic Entrepreneurship (3 units),"
Strategic entrepreneurship, encompassing entrepreneurship in existing large and small firms and in not-for-profit organisations. Strategic entrepreneurship emphasises simultaneity in opportunity-seeking behaviours - supported by entrepreneurial leadership and an entrepreneurial culture - and advantage-seeking behaviours - supported by strategic management of resources.
Course Component: Lecture"
ADM 4316,Management of Innovation (3 units),"
The Innovation process, from discovery to diffusion; intellectual property, innovation financing, organization design and strategy for innovation. Successful frameworks, strategies, funding techniques, business models, risks, and barriers for introducing break-through products and services.
Course Component: Lecture"
ADM 4317,"Leadership, Strategy and Sustainability (3 units)","
Corporate social responsibility (CSR) and sustainability at multiple levels  self, others, the organization and society. Personal values, ethics, beliefs and attitudes and their relation to CSR and sustainability. Emphasis upon action, with the opportunity for leadership development. Social entrepreneurship, B-Corps, carbon-negative enterprises, regenerative business models, cradle-to-cradle design thinking, the circular economy.
Course Component: Lecture"
ADM 4318,Multinational Business Policy (3 units),"
Stages of multinational organization: exports, foreign direct investment, joint ventures and licensing agreements, mergers and acquisitions.  Managing multinational corporations, regional and global strategies: organization and structures, adjusting to cultural differences and political risk assessment.  Governments and multinational corporations (MNCs) relations: benefits of MNCs for host countries and national investment policies.  Corporate responsibility: ethics, environment and labour standards.
Course Component: Lecture"
ADM 4319,Strategic Management in Developing and Emerging Economies (3 units),"
Strategic management in developing and emerging economies, with an emphasis on the interconnection between business growth and equitable development. Poverty, inequality, technological and institutional gaps remain significant hurdles to competitive performance, economic development and global business integration; the strategies, policies, organizational and institutional changes required to address these challenges are examined. Development issues and approaches are considered from multiple perspectives, particularly those of managers and policymakers.
Course Component: Lecture"
ADM 4322,Marketing Strategy (3 units),"
This capstone course in marketing provides a hands-on experience to students in developing a marketing strategy in a competitive environment.  Students are expected to work in groups on marketing projects sponsored by companies.  This project-oriented course uses case studies and/or marketing simulation, in addition to regular lectures.
Course Component: Lecture"
ADM 4325,Promotional Planning Practicum (3 units),"
A highly applied course with a mix of formal lectures and group research activities, in which students work in groups to address the strategic promotional mandate from a major corporate sponsor. Each group will first develop and implement a primary and/or secondary market research project to gather a portion of the necessary intelligence. Then, using the pooled research reports, each group will develop a detailed strategic promotional plan. At the conclusion of the course, the teams with the three best promotional plans will compete in a public presentation known as the Michel Cloutier Marketing Competition.
Course Component: Lecture"
ADM 4326,Digital Marketing Technologies (3 units),"
The Internet and a wide range of related digital technologies have changed the way businesses design and implement marketing strategies. This course focuses on the strategic and tactical applications of these ever-changing digital marketing technologies on decision-making and strategy formulation in areas such as business intelligence gathering, competitive analysis, customer analysis, customer relationship management, supply chain management, new product development, branding, positioning, promotion, and advertising, services management, and e-commerce. Hands-on experience with selected technologies/tools may be provided.
Course Component: Lecture"
ADM 4328,International Marketing (3 units),"
Strategic approach for international markets. Markets selection and segmentation: formulation of the international marketing mix programs; international marketing strategies for small, medium and multinational firms.
Course Component: Lecture"
ADM 4329,Personal Selling (3 units),"
Personal visits and personal contacts remain the most effective way of building a committed relationship between a buyer and a seller, especially in business markets.  The course will focus on the acquisition of essential selling skills required to meet the challenges facing sales professionals and on the development of expertise to retain customers and expand business opportunities.
Course Component: Lecture"
ADM 4336,Occupational Health and Safety (3 units),"
This course recognizes the leadership role that HR professionals take on the issues of workplace health, safety, and workers compensation. It reviews current legislation, and good management practice re: hazard management, accident investigation, emergency preparedness, managing physical & psychological toxic elements in the workplace, and diversity management (e.g. attending to the health/safety concerns of special-needs populations).
Course Component: Lecture"
ADM 4337,Managing Change (3 units),"
Strategic management of change in organizations: change agent-client relationships, managing large scale systems change, process consulting skills, intervention techniques and change management, evaluation of change efforts and effectiveness.
Course Component: Lecture"
ADM 4338,International Training and Development for Sustainability (3 units),"
Organizations that wish to be globally competitive need to learn how to innovate sustainably. Both human resource development specialists and global managers need to know how to inculcate the competencies that will enable their employees require to perform their current jobs and maximize their career potential. Students will learn how to connect global sustainability strategies and performance appraisals to training needs; to resolve the staffing/training tradeoff; to diagnose learning styles and design training and career development plans; to deliver professional development programs; and to evaluate the effectiveness of such programs.
Course Component: Lecture"
ADM 4339,Strategic Human Resources Planning (3 units),"
This integrative, capstone course for the HRM option is designed to teach prospective human resource professionals how to plan and make decisions about the allocation and alignment of human resources, within a given organizational strategy. You will acquire technical knowledge related to traditional human resource planning activities, such as forecasting demand and ascertaining supply of human resources, and implementing a succession management program.
Course Component: Lecture"
ADM 4340,Cases Studies in Accounting (3 units),"
The cases studied in this course present an opportunity for students to integrate the knowledge acquired in previous accounting, tax, auditing and finance courses while putting into practice the knowledge acquired in other management courses in the process of making multidisciplinary decisions . Students are also able to improve their ability to address problems in multisubject and comprehensive cases.
Course Component: Lecture"
ADM 4341,Advanced Auditing (3 units),"
This advanced course in auditing examines the role of the auditing profession and audit in society. The general assurance framework and its concepts are addressed. Audit and assurance concepts are applied to a range of specific engagement types. Current issues facing the profession are explored.
Course Component: Lecture"
ADM 4342,Seminar in Accounting Theory (3 units),"
Discussions on the role of accounting in business and in society. Topics include relevant theories for accounting development and standard-setting, professional judgement and other emerging issues within accounting and the accounting profession.
Course Component: Lecture"
ADM 4344,Taxation II (3 units),"
Gives an in-depth knowledge of corporate taxation and of tax planning for the company, its managers and shareholders. The course includes calculation of corporate income tax, tax implications of the distribution of retained earnings, and the tax implications of owner/manager decisions regarding remuneration, incorporation and succession planning.
Course Component: Lecture"
ADM 4345,Management Control Systems (3 units),"
Integrates the various concepts of procedures that make up a managerial planning and control system from an accounting, performance measurement, behavioural, organisational design, and strategy implementation point of view. The course emphasizes modern performance measurement and control techniques in the context of changing competitive environments.
Course Component: Lecture"
ADM 4346,Accounting Information Systems Auditing (3 units),"
Information technology and accounting information systems as they affect the internal and external auditor are introduced. The modifications to traditional compliance and substantive auditing techniques that are necessary to address the automated business world are explored.
Course Component: Lecture"
ADM 4348,Special Topics in Financial Accounting (3 units),"
Covers specialized topics in financial reporting, including accounting for not-for-profit organizations, leases, benefit plans, and corporate income taxes.
Course Component: Lecture"
ADM 4349,Advanced Accounting (3 units),"
Covers advanced topics in financial reporting, including long-term investments, business combinations, consolidations, and foreign currency translation.
Course Component: Lecture"
ADM 4350,Equity Valuation (3 units),"
Securities analysis, financial statement analysis, free cash flow and valuation, relative valuation, and value-enhancing strategies.
Course Component: Lecture"
ADM 4351,Options and Futures (3 units),"
Derivatives markets, risk neutral valuation, option pricing models, option strategies, convertible securities and warrants, forward and futures contracts, index futures, and swaps.
Course Component: Lecture"
ADM 4352,Advanced Corporate Finance (3 units),"
Advanced topics in capital budgeting and strategy, real options, capital structure, dividend policy, agency theory, corporate governance, mergers and acquisitions, and empirical studies of corporate performance.
Course Component: Lecture"
ADM 4354,International Financial Management (3 units),"
Foreign exchange markets, exchange rate determination, international money and capital markets, currency futures, options, and swaps, corporate exposure management, and international investing.
Course Component: Lecture"
ADM 4355,"Finance, Ethics and Social Responsibility (3 units)","
Ethical issues specific to the financial sector, ethical decision making, societal impact of finance decisions, impact of responsible investing, and links among corporate governance, reporting practices and socially responsible behavior.
Course Component: Lecture"
ADM 4356,Alternative Investments and Risk Management (3 units),"
Non-traditional alternative investments such as mutual funds, hedge funds, real estate, commodities, and income trusts. Basic concepts of risk management, including risk identification and analysis; likelihood of risks; types of risks affecting property, income, responsibility, and decision-making in risk management.
Course Component: Lecture"
ADM 4357,Applied Investment Fund Management Module II (3 units),"
Students will oversee a portfolio of Canadian equity securities, with investments made via funds donated to the program. Emphasis is on applied equity valuation and portfolio management. Comprising a two-academic year program, students must complete Module I (3 credits) in Fall of the two year program, attend financial presentations, trip to Toronto, portfolio team meetings and portfolio management activities on an ongoing basis throughout the remainder of the academic year, and end with completion of Module II (3 credits) in Winter of the second year of the program.
Course Component: Lecture"
ADM 4363,Business Optimization Analytics (3 units),"
Advanced prescriptive analytics techniques such as optimization and queuing theory in applied settings. Businesses are awash in data but often have little sense as to how that data ought to be used to develop policy. Students will also learn how to use these techniques to help businesses better manage processes in a data-driven fashion, while understanding the limitations of analytical tools.
Course Component: Lecture"
ADM 4377,Digital Enterprise Systems and Strategies (3 units),"
Current trends and case studies in technology enabled business models and strategies; Usability principles for web and mobile environments; Cyber security and risk management; Mobile commerce applications; Business applications and ecosystems for cloud computing and web services; Enterprise applications and best practices for social media; requirements and solutions for web and social analytics.
Course Component: Lecture"
ADM 4378,Business Communications Networks (3 units),"
Networking fundamentals including elements of data communications, Internet and transport protocols. Internet applications. Local and Wide Area Networks. Virtual Private networks. Wireless LAN. Network Security. Network Management. Management of emerging technologies, and current market trends. Topics related to telecom equipment vendors, and service providers, their products and services, and the competitive environment in telecom market.
Course Component: Lecture"
ADM 4379,Management and Implementation of Web Technologies in Organizations (3 units),"
Implementation of Web-based systems as a critical component of organizations.  Web-based technologies as central elements of organizational structures.  Critical analysis of the usage of web technologies in organizations and the integration of web technologies and business needs.  Internet-based computer systems for management and decision-making in organizations, principles of analysis, design and development of web-based systems, practical experience with web development tools and hand coding of web pages and web sites for organizational and management needs.
Course Component: Lecture"
ADM 4396,Seminar in Administration (3 units),"
The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.
Course Component: Seminar"
ADM 4901,Stage coop / Co-op Work Term (3 crédits / 3 units),"
Stage coop / Co-op Work Term
Volet / Course Component: Stage / Work Term"
ADM 4902,Stage coop / Co-op Work Term (3 crédits / 3 units),"
Stage coop / Co-op Work Term
Volet / Course Component: Stage / Work Term"
